ADM0_NAME,ADM1_NAME,ADM2_CODE,ADM2_NAME,area_ee,losstotal,mask_hansen,lossyear,sum
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,6,1.8950933
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,7,1.6942916
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,8,1.9367875
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,9,3.5263612
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,10,2.1293457
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,11,2.8659846
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,12,4.6604619
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,13,6.1491134
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,14,4.2849964
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,15,5.085291
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,16,5.1109771
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,17,4.3185569
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,18,4.2969127
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,19,5.1231111
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,20,4.9015925
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,21,2.6715362
Brazil,Amazonas,6481,Benjamin Constant,7511.3793949,76.8626166,7277.1555426,22,5.5726896
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,0,16221.7224434
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,1,58.3536537
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,2,49.2819692
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,3,62.32225
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,4,70.2782714
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,5,154.4778013
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,6,94.9021346
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,7,40.3492781
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,8,73.9181335
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,9,29.5417584
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,10,56.4101473
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,11,65.2801712
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,12,68.3071061
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,13,51.6729349
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,14,73.4032286
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,15,76.8879065
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,16,152.620865
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,17,116.318708
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,18,122.5845182
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,19,135.1918305
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,20,135.6728943
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,21,187.43160459999999
Brazil,Amazonas,6484,Boca Do Acre,19290.2911995,2118.7229541,18340.4453975,22,243.5157887
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,0,21566.0183943
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,1,6.3101502
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,2,5.2876001
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,3,3.1139991
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,4,3.4972372
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,5,4.3391009
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,6,5.054654
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,7,2.4655508
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,8,4.4260908
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,9,2.8696338
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,10,4.1499846
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,11,6.2077819
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,12,7.5455602
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,13,7.0820255
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,14,4.5355511
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,15,4.558074
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,16,5.5664323
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,17,11.7717992
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,18,5.9217741
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,19,3.6418267
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,20,6.9536912
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,21,6.4529578
Brazil,Amazonas,6488,Carauari,22172.6754226,116.4268861,21682.4452805,22,4.6754106
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,0,13060.6739803
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,1,8.5092828
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,2,9.2411256
Brazil,Amazonas,6493,Eirunepe,13667.2306612,213.4834993,13274.1574796,3,4.5891704
